EVALUASI SISTEM PEMANTAUAN BANJIR BENDUNGAN CIAWI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Pemantauan Per Jam (Maret 2023 – Juli 2026) & Analisis Outflow 100% Konduit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pemutakhiran,,,,,,Metode UPB,,,,,,Pedoman OP & RTD Bendungan,,,,,,
1714,3/2/2024,8:00:00 AM,508.81,3.20,,"1,422.34",,,,,,,13.04,0.00,13.04,13.03,0.00,Normal,58.74,0.00,58.74,Siaga Banjir IV,45.70,-0.78,,,
1715,3/2/2024,4:06:00 PM,509.15,3.20,,"2,033.72",,,,,,,20.71,0.00,20.71,20.73,0.02,Siaga Banjir IV,62.25,0.00,62.25,Siaga Banjir IV,41.54,-0.67,,,
1716,3/2/2024,6:15:00 PM,509.68,3.20,,"3,379.76",,,,,,,24.37,0.00,24.37,24.54,0.17,Siaga Banjir IV,70.44,0.00,70.44,Siaga Banjir IV,46.07,-0.65,,,
1717,3/2/2024,8:00:00 PM,509.44,3.20,,"2,770.23",,,,,,,22.88,0.00,22.88,22.79,0.00,Siaga Banjir IV,66.73,0.00,66.73,Siaga Banjir IV,43.85,-0.66,,,
1718,3/2/2024,10:00:00 PM,509.20,3.20,,"2,160.70",,,,,,,21.40,0.00,21.40,21.32,0.00,Siaga Banjir IV,63.02,0.00,63.02,Siaga Banjir IV,41.62,-0.66,,,
1719,3/3/2024,12:00:00 AM,508.85,3.20,,"1,470.85",,,,,,,13.37,0.00,13.37,13.36,0.00,Normal,58.99,0.00,58.99,Siaga Banjir IV,45.62,-0.77,,,
1720,3/3/2024,7:52:00 AM,508.82,3.20,,"1,434.47",,,,,,,13.12,0.00,13.12,13.12,0.00,Normal,58.80,0.00,58.80,Siaga Banjir IV,45.68,-0.78,,,
1721,3/3/2024,12:00:00 PM,508.64,3.20,,"1,216.17",,,,,,,11.66,0.00,11.66,11.64,0.00,Normal,57.67,0.00,57.67,Siaga Banjir IV,46.01,-0.80,,,
1722,3/3/2024,4:01:00 PM,508.77,3.20,,"1,373.83",,,,,,,12.72,0.00,12.72,12.73,0.01,Normal,58.49,0.00,58.49,Siaga Banjir IV,45.77,-0.78,,,
1723,3/3/2024,6:00:00 PM,509.61,3.20,,"3,201.98",,,,,,,23.93,0.00,23.93,24.19,0.26,Siaga Banjir IV,69.36,0.00,69.36,Siaga Banjir IV,45.42,-0.65,,,
1724,3/3/2024,7:00:00 PM,509.41,3.20,,"2,694.04",,,,,,,22.70,0.00,22.70,22.56,0.00,Siaga Banjir IV,66.27,0.00,66.27,Siaga Banjir IV,43.57,-0.66,,,
1725,3/3/2024,8:00:00 PM,509.16,3.20,,"2,059.11",,,,,,,20.85,0.00,20.85,20.67,0.00,Siaga Banjir IV,62.40,0.00,62.40,Siaga Banjir IV,41.55,-0.67,,,
1726,3/4/2024,12:00:00 AM,508.90,3.20,,"1,531.49",,,,,,,13.77,0.00,13.77,13.77,0.00,Normal,59.30,0.00,59.30,Siaga Banjir IV,45.53,-0.77,,,
1727,3/4/2024,7:00:00 PM,508.20,3.20,,682.57,,,,,,,8.08,0.00,8.08,8.07,0.00,Normal,54.91,0.00,54.91,Siaga Banjir IV,46.83,-0.85,,,
1728,3/4/2024,11:32:00 PM,508.13,3.20,,597.68,,,,,,,7.37,0.00,7.37,7.37,0.00,Normal,54.48,0.00,54.48,Siaga Banjir IV,47.10,-0.86,,,
1729,3/5/2024,5:01:00 AM,508.20,3.20,,682.57,,,,,,,8.08,0.00,8.08,8.08,0.00,Normal,54.91,0.00,54.91,Siaga Banjir IV,46.83,-0.85,,,
1730,3/5/2024,8:30:00 AM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.20,0.05,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1731,3/5/2024,11:50:00 PM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.15,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1732,3/6/2024,4:29:00 AM,508.50,3.20,,"1,046.39",,,,,,,10.52,0.00,10.52,10.52,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,46.28,-0.81,,,
1733,3/6/2024,8:51:00 AM,508.50,3.20,,"1,046.39",,,,,,,10.52,0.00,10.52,10.52,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,46.28,-0.81,,,
1734,3/6/2024,4:30:00 PM,508.50,3.20,,"1,046.39",,,,,,,10.52,0.00,10.52,10.52,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,46.28,-0.81,,,
1735,3/6/2024,7:30:00 PM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.17,0.02,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1736,3/6/2024,11:15:00 PM,508.60,3.20,,"1,167.66",,,,,,,11.33,0.00,11.33,11.32,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,46.09,-0.80,,,
1737,3/7/2024,4:15:00 AM,508.50,3.20,,"1,046.39",,,,,,,10.52,0.00,10.52,10.52,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,46.28,-0.81,,,
1738,3/7/2024,9:00:00 AM,508.54,3.20,,"1,094.90",,,,,,,10.85,0.00,10.85,10.85,0.00,Normal,57.05,0.00,57.05,Siaga Banjir IV,46.20,-0.81,,,
1739,3/7/2024,7:30:00 PM,509.23,3.20,,"2,236.89",,,,,,,21.59,0.00,21.59,21.62,0.03,Siaga Banjir IV,63.48,0.00,63.48,Siaga Banjir IV,41.90,-0.66,,,
1740,3/8/2024,4:15:00 AM,508.50,3.20,,"1,046.39",,,,,,,10.52,0.00,10.52,10.50,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,46.28,-0.81,,,
1741,3/8/2024,9:00:00 AM,508.50,3.20,,"1,046.39",,,,,,,10.52,0.00,10.52,10.52,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,46.28,-0.81,,,
1742,3/8/2024,6:15:00 PM,509.06,3.20,,"1,805.14",,,,,,,19.47,0.00,19.47,19.49,0.02,Siaga Banjir IV,60.86,0.00,60.86,Siaga Banjir IV,41.39,-0.68,,,
1743,3/8/2024,7:54:00 PM,510.00,3.20,,"4,192.47",,,,,,,30.00,0.00,30.00,30.40,0.40,Siaga Banjir IV,75.38,0.00,75.38,Siaga Banjir IV,45.38,-0.60,,,
1744,3/8/2024,11:30:00 PM,509.00,3.20,,"1,652.76",,,,,,,16.76,0.00,16.76,16.56,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,43.18,-0.72,,,
1745,3/9/2024,4:17:00 AM,509.48,3.20,,"2,871.82",,,,,,,23.13,0.00,23.13,23.15,0.02,Siaga Banjir IV,67.35,0.00,67.35,Siaga Banjir IV,44.22,-0.66,,,
1746,3/9/2024,7:50:00 AM,509.34,3.20,,"2,516.26",,,,,,,22.27,0.00,22.27,22.24,0.00,Siaga Banjir IV,65.18,0.00,65.18,Siaga Banjir IV,42.92,-0.66,,,
1747,3/9/2024,12:05:00 PM,509.22,3.20,,"2,211.50",,,,,,,21.52,0.00,21.52,21.50,0.00,Siaga Banjir IV,63.33,0.00,63.33,Siaga Banjir IV,41.81,-0.66,,,
1748,3/9/2024,4:08:00 PM,509.08,3.20,,"1,855.94",,,,,,,19.74,0.00,19.74,19.72,0.00,Siaga Banjir IV,61.17,0.00,61.17,Siaga Banjir IV,41.42,-0.68,,,
1749,3/10/2024,12:00:00 AM,509.06,3.20,,"1,805.14",,,,,,,19.47,0.00,19.47,19.47,0.00,Siaga Banjir IV,60.86,0.00,60.86,Siaga Banjir IV,41.39,-0.68,,,
1750,3/10/2024,3:40:00 AM,508.94,3.20,,"1,580.00",,,,,,,14.10,0.00,14.10,14.08,0.00,Normal,59.55,0.00,59.55,Siaga Banjir IV,45.46,-0.76,,,
1751,3/10/2024,7:34:00 AM,508.98,3.20,,"1,628.51",,,,,,,15.73,0.00,15.73,15.73,0.00,Normal,59.81,0.00,59.81,Siaga Banjir IV,44.08,-0.74,,,
1752,3/10/2024,12:00:00 PM,508.85,3.20,,"1,470.85",,,,,,,13.37,0.00,13.37,13.36,0.00,Normal,58.99,0.00,58.99,Siaga Banjir IV,45.62,-0.77,,,
1753,3/10/2024,4:11:00 PM,508.67,3.20,,"1,252.56",,,,,,,11.90,0.00,11.90,11.89,0.00,Normal,57.86,0.00,57.86,Siaga Banjir IV,45.96,-0.79,,,
1754,3/11/2024,12:30:00 AM,508.85,3.20,,"1,470.85",,,,,,,13.37,0.00,13.37,13.37,0.00,Normal,58.99,0.00,58.99,Siaga Banjir IV,45.62,-0.77,,,
1755,3/11/2024,3:40:00 AM,508.84,3.20,,"1,458.72",,,,,,,13.29,0.00,13.29,13.28,0.00,Normal,58.93,0.00,58.93,Siaga Banjir IV,45.64,-0.77,,,
1756,3/11/2024,7:00:00 AM,508.96,3.20,,"1,604.25",,,,,,,14.70,0.00,14.70,14.71,0.01,Normal,59.68,0.00,59.68,Siaga Banjir IV,44.98,-0.75,,,
1757,3/11/2024,8:00:00 AM,508.65,3.20,,"1,228.30",,,,,,,11.74,0.00,11.74,11.64,0.00,Normal,57.74,0.00,57.74,Siaga Banjir IV,46.00,-0.80,,,
1758,3/11/2024,12:30:00 PM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.15,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1759,3/11/2024,4:40:00 PM,508.76,3.20,,"1,361.70",,,,,,,12.64,0.00,12.64,12.64,0.00,Normal,58.43,0.00,58.43,Siaga Banjir IV,45.79,-0.78,,,
1760,3/11/2024,9:05:00 PM,508.82,3.20,,"1,434.47",,,,,,,13.12,0.00,13.12,13.13,0.00,Normal,58.80,0.00,58.80,Siaga Banjir IV,45.68,-0.78,,,
1761,3/12/2024,12:15:00 AM,509.61,3.20,,"3,201.98",,,,,,,23.93,0.00,23.93,23.96,0.02,Siaga Banjir IV,69.36,0.00,69.36,Siaga Banjir IV,45.42,-0.65,,,
1762,3/12/2024,4:10:00 AM,507.83,3.20,,420.33,,,,,,,4.34,0.00,4.34,4.15,0.00,Normal,53.00,0.00,53.00,Siaga Banjir IV,48.65,-0.92,,,
1763,3/12/2024,7:56:00 AM,508.15,3.20,,621.93,,,,,,,7.58,0.00,7.58,7.59,0.01,Normal,54.60,0.00,54.60,Siaga Banjir IV,47.03,-0.86,,,
1764,3/12/2024,11:53:00 AM,508.84,3.20,,"1,458.72",,,,,,,13.29,0.00,13.29,13.34,0.06,Normal,58.93,0.00,58.93,Siaga Banjir IV,45.64,-0.77,,,
1765,3/12/2024,4:52:00 PM,509.20,3.20,,"2,160.70",,,,,,,21.40,0.00,21.40,21.44,0.04,Siaga Banjir IV,63.02,0.00,63.02,Siaga Banjir IV,41.62,-0.66,,,
1766,3/13/2024,12:15:00 AM,508.87,3.20,,"1,495.10",,,,,,,13.53,0.00,13.53,13.52,0.00,Normal,59.12,0.00,59.12,Siaga Banjir IV,45.59,-0.77,,,
1767,3/13/2024,1:30:00 AM,508.91,3.20,,"1,543.61",,,,,,,13.86,0.00,13.86,13.87,0.01,Normal,59.37,0.00,59.37,Siaga Banjir IV,45.51,-0.77,,,
1768,3/13/2024,4:05:00 AM,509.09,3.20,,"1,881.33",,,,,,,19.88,0.00,19.88,19.92,0.04,Siaga Banjir IV,61.32,0.00,61.32,Siaga Banjir IV,41.44,-0.68,,,
1769,3/13/2024,8:36:00 AM,508.95,3.20,,"1,592.12",,,,,,,14.18,0.00,14.18,14.16,0.00,Normal,59.62,0.00,59.62,Siaga Banjir IV,45.44,-0.76,,,
1770,3/13/2024,12:52:00 PM,508.76,3.20,,"1,361.70",,,,,,,12.64,0.00,12.64,12.62,0.00,Normal,58.43,0.00,58.43,Siaga Banjir IV,45.79,-0.78,,,
1771,3/13/2024,5:25:00 PM,509.71,3.20,,"3,455.95",,,,,,,24.67,0.00,24.67,24.80,0.13,Siaga Banjir IV,70.90,0.00,70.90,Siaga Banjir IV,46.23,-0.65,,,
1772,3/14/2024,3:30:00 PM,511.81,3.20,,"13,738.09",,,,,,,57.49,0.00,57.49,58.98,1.49,Siaga Banjir IV,98.72,0.00,98.72,Siaga Banjir IV,41.23,-0.42,,,
1773,3/14/2024,3:40:00 PM,511.81,3.20,,"13,738.09",,,,,,,57.49,0.00,57.49,57.49,0.00,Siaga Banjir IV,98.72,0.00,98.72,Siaga Banjir IV,41.23,-0.42,,,
1774,3/14/2024,4:30:00 PM,510.80,3.20,,"7,734.96",,,,,,,52.10,0.00,52.10,50.10,0.00,Siaga Banjir IV,86.84,0.00,86.84,Siaga Banjir IV,34.74,-0.40,,,
1775,3/14/2024,11:25:00 PM,509.70,3.20,,"3,430.56",,,,,,,24.49,0.00,24.49,24.32,0.00,Siaga Banjir IV,70.75,0.00,70.75,Siaga Banjir IV,46.26,-0.65,,,
1776,3/15/2024,5:10:00 AM,507.57,3.20,,390.23,,,,,,,1.72,0.00,1.72,1.67,0.00,Normal,49.10,0.00,49.10,Siaga Banjir IV,47.38,-0.97,,,
1777,3/15/2024,8:00:00 PM,509.50,3.20,,"2,922.62",,,,,,,23.25,0.00,23.25,23.30,0.05,Siaga Banjir IV,67.66,0.00,67.66,Siaga Banjir IV,44.40,-0.66,,,
1778,3/15/2024,10:45:00 PM,509.53,3.20,,"2,998.81",,,,,,,23.44,0.00,23.44,23.45,0.01,Siaga Banjir IV,68.12,0.00,68.12,Siaga Banjir IV,44.68,-0.66,,,
1779,3/15/2024,11:45:00 PM,509.40,3.20,,"2,668.64",,,,,,,22.64,0.00,22.64,22.54,0.00,Siaga Banjir IV,66.11,0.00,66.11,Siaga Banjir IV,43.47,-0.66,,,
1780,3/16/2024,5:16:00 AM,509.53,3.20,,"2,998.81",,,,,,,23.44,0.00,23.44,23.44,0.00,Siaga Banjir IV,68.12,0.00,68.12,Siaga Banjir IV,44.68,-0.66,,,
1781,3/16/2024,7:40:00 AM,509.58,3.20,,"3,125.79",,,,,,,23.75,0.00,23.75,23.76,0.01,Siaga Banjir IV,68.89,0.00,68.89,Siaga Banjir IV,45.14,-0.66,,,
1782,3/16/2024,10:00:00 AM,509.07,3.20,,"1,830.54",,,,,,,19.61,0.00,19.61,19.45,0.00,Siaga Banjir IV,61.01,0.00,61.01,Siaga Banjir IV,41.41,-0.68,,,
1783,3/16/2024,12:00:00 PM,509.20,3.20,,"2,160.70",,,,,,,21.40,0.00,21.40,21.45,0.05,Siaga Banjir IV,63.02,0.00,63.02,Siaga Banjir IV,41.62,-0.66,,,
1784,3/16/2024,2:00:00 PM,509.30,3.20,,"2,414.67",,,,,,,22.02,0.00,22.02,22.05,0.04,Siaga Banjir IV,64.57,0.00,64.57,Siaga Banjir IV,42.55,-0.66,,,
1785,3/16/2024,3:00:00 PM,509.87,3.20,,"3,862.31",,,,,,,27.61,0.00,27.61,28.01,0.40,Siaga Banjir IV,73.37,0.00,73.37,Siaga Banjir IV,45.76,-0.62,,,
1786,3/16/2024,4:40:00 PM,509.90,3.20,,"3,938.50",,,,,,,28.16,0.00,28.16,28.17,0.01,Siaga Banjir IV,73.84,0.00,73.84,Siaga Banjir IV,45.67,-0.62,,,
1787,3/16/2024,5:40:00 PM,512.30,3.20,,"17,393.35",,,,,,,61.32,0.00,61.32,65.06,3.74,Siaga Banjir IV,104.25,0.00,104.25,Siaga Banjir III,42.93,-0.41,,,
1788,3/16/2024,6:00:00 PM,512.03,3.20,,"15,183.98",,,,,,,58.86,0.00,58.86,57.02,0.00,Siaga Banjir IV,101.17,0.00,101.17,Siaga Banjir III,42.31,-0.42,,,
1789,3/16/2024,7:30:00 PM,510.50,3.20,,"6,406.53",,,,,,,38.73,0.00,38.73,37.10,0.00,Siaga Banjir IV,82.54,0.00,82.54,Siaga Banjir IV,43.81,-0.53,,,
1790,3/17/2024,7:40:00 AM,509.10,3.20,,"1,906.73",,,,,,,20.02,0.00,20.02,19.91,0.00,Siaga Banjir IV,61.48,0.00,61.48,Siaga Banjir IV,41.46,-0.67,,,
1791,3/17/2024,11:30:00 AM,509.68,3.20,,"3,379.76",,,,,,,24.37,0.00,24.37,24.47,0.11,Siaga Banjir IV,70.44,0.00,70.44,Siaga Banjir IV,46.07,-0.65,,,
1792,3/17/2024,4:10:00 PM,510.70,3.20,,"7,292.15",,,,,,,42.10,0.00,42.10,42.33,0.23,Siaga Banjir IV,85.40,0.00,85.40,Siaga Banjir IV,43.30,-0.51,,,
1793,3/17/2024,5:40:00 PM,510.10,3.20,,"4,635.28",,,,,,,31.83,0.00,31.83,31.34,0.00,Siaga Banjir IV,76.81,0.00,76.81,Siaga Banjir IV,44.98,-0.59,,,
1794,3/17/2024,8:00:00 PM,509.38,3.20,,"2,617.85",,,,,,,22.51,0.00,22.51,22.27,0.00,Siaga Banjir IV,65.80,0.00,65.80,Siaga Banjir IV,43.29,-0.66,,,
1795,3/18/2024,3:40:00 PM,509.10,3.20,,"1,906.73",,,,,,,20.02,0.00,20.02,19.97,0.00,Siaga Banjir IV,61.48,0.00,61.48,Siaga Banjir IV,41.46,-0.67,,,
1796,3/18/2024,8:05:00 PM,509.00,3.20,,"1,652.76",,,,,,,16.76,0.00,16.76,16.74,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,43.18,-0.72,,,
1797,3/18/2024,11:50:00 PM,509.00,3.20,,"1,652.76",,,,,,,16.76,0.00,16.76,16.76,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,43.18,-0.72,,,
1798,3/19/2024,4:30:00 AM,509.00,3.20,,"1,652.76",,,,,,,16.76,0.00,16.76,16.76,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,43.18,-0.72,,,
1799,3/19/2024,9:00:00 PM,508.97,3.20,,"1,616.38",,,,,,,15.21,0.00,15.21,15.21,0.00,Normal,59.74,0.00,59.74,Siaga Banjir IV,44.53,-0.75,,,
1800,3/20/2024,8:00:00 PM,509.38,3.20,,"2,617.85",,,,,,,22.51,0.00,22.51,22.79,0.28,Siaga Banjir IV,65.80,0.00,65.80,Siaga Banjir IV,43.29,-0.66,,,
1801,3/21/2024,2:00:00 AM,509.38,3.20,,"2,617.85",,,,,,,22.51,0.00,22.51,22.51,0.00,Siaga Banjir IV,65.80,0.00,65.80,Siaga Banjir IV,43.29,-0.66,,,
1802,3/21/2024,8:50:00 AM,509.38,3.20,,"2,617.85",,,,,,,22.51,0.00,22.51,22.51,0.00,Siaga Banjir IV,65.80,0.00,65.80,Siaga Banjir IV,43.29,-0.66,,,
1803,3/21/2024,7:30:00 PM,509.25,3.20,,"2,287.69",,,,,,,21.71,0.00,21.71,21.70,0.00,Siaga Banjir IV,63.79,0.00,63.79,Siaga Banjir IV,42.08,-0.66,,,
1804,3/22/2024,12:30:00 AM,509.25,3.20,,"2,287.69",,,,,,,21.71,0.00,21.71,21.71,0.00,Siaga Banjir IV,63.79,0.00,63.79,Siaga Banjir IV,42.08,-0.66,,,
1805,3/22/2024,4:15:00 PM,508.64,3.20,,"1,216.17",,,,,,,11.66,0.00,11.66,11.64,0.00,Normal,57.67,0.00,57.67,Siaga Banjir IV,46.01,-0.80,,,
1806,3/22/2024,7:00:00 PM,508.80,3.20,,"1,410.21",,,,,,,12.96,0.00,12.96,12.98,0.02,Normal,58.68,0.00,58.68,Siaga Banjir IV,45.72,-0.78,,,
1807,3/22/2024,10:00:00 PM,508.90,3.20,,"1,531.49",,,,,,,13.77,0.00,13.77,13.78,0.01,Normal,59.30,0.00,59.30,Siaga Banjir IV,45.53,-0.77,,,
1808,3/23/2024,7:40:00 AM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.14,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1809,3/23/2024,11:45:00 AM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.15,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1810,3/23/2024,5:00:00 PM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.15,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1811,3/23/2024,8:20:00 PM,508.99,3.20,,"1,640.63",,,,,,,16.24,0.00,16.24,16.27,0.03,Normal,59.87,0.00,59.87,Siaga Banjir IV,43.63,-0.73,,,
1812,3/23/2024,11:45:00 PM,509.02,3.20,,"1,703.55",,,,,,,17.79,0.00,17.79,17.79,0.01,Normal,60.24,0.00,60.24,Siaga Banjir IV,42.45,-0.70,,,
1813,3/24/2024,4:15:00 AM,509.03,3.20,,"1,728.95",,,,,,,18.30,0.00,18.30,18.30,0.00,Normal,60.39,0.00,60.39,Siaga Banjir IV,42.09,-0.70,,,
1814,3/24/2024,7:51:00 AM,508.85,3.20,,"1,470.85",,,,,,,13.37,0.00,13.37,13.35,0.00,Normal,58.99,0.00,58.99,Siaga Banjir IV,45.62,-0.77,,,
1815,3/24/2024,12:11:00 PM,508.75,3.20,,"1,349.58",,,,,,,12.55,0.00,12.55,12.55,0.00,Normal,58.36,0.00,58.36,Siaga Banjir IV,45.81,-0.78,,,
1816,3/24/2024,4:00:00 PM,508.39,3.20,,912.99,,,,,,,9.63,0.00,9.63,9.59,0.00,Normal,56.11,0.00,56.11,Siaga Banjir IV,46.48,-0.83,,,
1817,3/24/2024,8:35:00 PM,509.10,3.20,,"1,906.73",,,,,,,20.02,0.00,20.02,20.08,0.06,Siaga Banjir IV,61.48,0.00,61.48,Siaga Banjir IV,41.46,-0.67,,,
1818,3/25/2024,12:00:00 AM,508.96,3.20,,"1,604.25",,,,,,,14.70,0.00,14.70,14.69,0.00,Normal,59.68,0.00,59.68,Siaga Banjir IV,44.98,-0.75,,,
1819,3/25/2024,3:30:00 AM,507.62,3.20,,396.02,,,,,,,2.22,0.00,2.22,2.13,0.00,Normal,52.18,0.00,52.18,Siaga Banjir IV,49.96,-0.96,,,
1820,3/25/2024,8:30:00 AM,508.57,3.20,,"1,131.28",,,,,,,11.09,0.00,11.09,11.13,0.04,Normal,57.23,0.00,57.23,Siaga Banjir IV,46.15,-0.81,,,
1821,3/25/2024,5:23:00 PM,508.58,3.20,,"1,143.41",,,,,,,11.17,0.00,11.17,11.17,0.00,Normal,57.30,0.00,57.30,Siaga Banjir IV,46.13,-0.81,,,
1822,3/25/2024,6:00:00 PM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.21,0.07,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1823,3/25/2024,7:00:00 PM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.15,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1824,3/26/2024,12:00:00 AM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.15,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1825,3/26/2024,4:30:00 AM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.15,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1826,3/26/2024,8:50:00 AM,508.57,3.20,,"1,131.28",,,,,,,11.09,0.00,11.09,11.08,0.00,Normal,57.23,0.00,57.23,Siaga Banjir IV,46.15,-0.81,,,
1827,3/26/2024,12:00:00 PM,508.60,3.20,,"1,167.66",,,,,,,11.33,0.00,11.33,11.34,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,46.09,-0.80,,,
1828,3/26/2024,3:50:00 PM,508.87,3.20,,"1,495.10",,,,,,,13.53,0.00,13.53,13.55,0.02,Normal,59.12,0.00,59.12,Siaga Banjir IV,45.59,-0.77,,,
1829,3/26/2024,5:35:00 PM,509.20,3.20,,"2,160.70",,,,,,,21.40,0.00,21.40,21.51,0.11,Siaga Banjir IV,63.02,0.00,63.02,Siaga Banjir IV,41.62,-0.66,,,
1830,3/26/2024,6:42:00 PM,510.70,3.20,,"7,292.15",,,,,,,42.10,0.00,42.10,43.38,1.28,Siaga Banjir IV,85.40,0.00,85.40,Siaga Banjir IV,43.30,-0.51,,,
1831,3/27/2024,12:10:00 AM,509.00,3.20,,"1,652.76",,,,,,,16.76,0.00,16.76,16.67,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,43.18,-0.72,,,
1832,3/27/2024,5:10:00 AM,508.30,3.20,,803.84,,,,,,,8.89,0.00,8.89,8.85,0.00,Normal,55.54,0.00,55.54,Siaga Banjir IV,46.65,-0.84,,,
1833,3/27/2024,1:00:00 PM,508.30,3.20,,803.84,,,,,,,8.89,0.00,8.89,8.89,0.00,Normal,55.54,0.00,55.54,Siaga Banjir IV,46.65,-0.84,,,
1834,3/27/2024,3:00:00 PM,510.00,3.20,,"4,192.47",,,,,,,30.00,0.00,30.00,30.47,0.47,Siaga Banjir IV,75.38,0.00,75.38,Siaga Banjir IV,45.38,-0.60,,,
1835,3/27/2024,7:00:00 PM,509.00,3.20,,"1,652.76",,,,,,,16.76,0.00,16.76,16.58,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,43.18,-0.72,,,
1836,3/28/2024,1:00:00 AM,509.00,3.20,,"1,652.76",,,,,,,16.76,0.00,16.76,16.76,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,43.18,-0.72,,,
1837,3/28/2024,4:30:00 AM,508.90,3.20,,"1,531.49",,,,,,,13.77,0.00,13.77,13.76,0.00,Normal,59.30,0.00,59.30,Siaga Banjir IV,45.53,-0.77,,,
1838,3/28/2024,3:55:00 PM,509.00,3.20,,"1,652.76",,,,,,,16.76,0.00,16.76,16.76,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,43.18,-0.72,,,
1839,3/28/2024,7:00:00 PM,508.90,3.20,,"1,531.49",,,,,,,13.77,0.00,13.77,13.76,0.00,Normal,59.30,0.00,59.30,Siaga Banjir IV,45.53,-0.77,,,
1840,3/29/2024,12:00:00 AM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.14,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1841,3/29/2024,5:00:00 AM,508.70,3.20,,"1,288.94",,,,,,,12.15,0.00,12.15,12.15,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,45.90,-0.79,,,
1842,3/29/2024,8:30:00 AM,508.60,3.20,,"1,167.66",,,,,,,11.33,0.00,11.33,11.32,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,46.09,-0.80,,,
1843,3/29/2024,12:10:00 PM,508.50,3.20,,"1,046.39",,,,,,,10.52,0.00,10.52,10.51,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,46.28,-0.81,,,
1844,3/29/2024,3:40:00 PM,509.00,3.20,,"1,652.76",,,,,,,16.76,0.00,16.76,16.80,0.05,Normal,59.93,0.00,59.93,Siaga Banjir IV,43.18,-0.72,,,
1845,3/29/2024,7:10:00 PM,510.90,3.20,,"8,177.77",,,,,,,52.49,0.00,52.49,53.01,0.52,Siaga Banjir IV,88.27,0.00,88.27,Siaga Banjir IV,35.78,-0.41,,,
1846,3/29/2024,8:30:00 PM,509.90,3.20,,"3,938.50",,,,,,,28.16,0.00,28.16,27.28,0.00,Siaga Banjir IV,73.84,0.00,73.84,Siaga Banjir IV,45.67,-0.62,,,
1847,3/30/2024,12:00:00 AM,509.10,3.20,,"1,906.73",,,,,,,20.02,0.00,20.02,19.99,0.00,Siaga Banjir IV,61.48,0.00,61.48,Siaga Banjir IV,41.46,-0.67,,,
